Facets,raw_value,normalized_value,extracted_id,facet_type,conversation_observable,sensitivity,scoring_definition,abstention_reason
Risktaking,Risktaking,risktaking,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Naivety,Naivety,naivety,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Acidity,Acidity,acidity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Democratic Leadership:,Democratic Leadership:,democratic leadership:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Common-sense,Common-sense,common-sense,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Hesitation,Hesitation,hesitation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Discontentment,Discontentment,discontentment,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Overprotectiveness,Overprotectiveness,overprotectiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Merriness,Merriness,merriness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Emotionalism,Emotionalism,emotionalism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Self-improvement,Self-improvement,self-improvement,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Statistical Reasoning,Statistical Reasoning,statistical reasoning,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Assertiveness and control in relationships,Assertiveness and control in relationships,assertiveness and control in relationships,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Cunningness,Cunningness,cunningness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Adventure-Seeking Behavior,Adventure-Seeking Behavior,adventure-seeking behavior,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Compassion Fatigue,Compassion Fatigue,compassion fatigue,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Moroseness,Moroseness,moroseness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Specialist,Specialist,specialist,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Aloofness,Aloofness,aloofness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Genuine,Genuine,genuine,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Determinedness,Determinedness,determinedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
HonestyHumility:,HonestyHumility:,honestyhumility:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Relationship Building Themes:,Relationship Building Themes:,relationship building themes:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Pure Challenge,Pure Challenge,pure challenge,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents:,numerical reasoning subcomponents:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Openness,Openness,openness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
SelfEsteem,SelfEsteem,selfesteem,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Comparing alphanumeric data,Comparing alphanumeric data,comparing alphanumeric data,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Big-heartedness,Big-heartedness,big-heartedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Compulsive activities,Compulsive activities,compulsive activities,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Disrespect,Disrespect,disrespect,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
FSH level,FSH level,fsh level,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Self Perspective,Self Perspective,self perspective,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Desperation,Desperation,desperation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Affiliation Motivation:,Affiliation Motivation:,affiliation motivation:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Anatomy knowledge,Anatomy knowledge,anatomy knowledge,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Passive-Aggressive,Passive-Aggressive,passive-aggressive,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Presence of Spiritual Pain,Presence of Spiritual Pain,presence of spiritual pain,,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,role of spirituality in community involvement,,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Structure,Structure,structure,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Eco-tourism trips,Eco-tourism trips,eco-tourism trips,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Chivalrousness,Chivalrousness,chivalrousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Pilgrimage participation count,Pilgrimage participation count,pilgrimage participation count,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Mindfulness facet: Observing,Mindfulness facet: Observing,mindfulness facet: observing,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Submissiveness,Submissiveness,submissiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Training-cycle length,Training-cycle length,training-cycle length,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sensitiveness,Sensitiveness,sensitiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Negative Affect Frequency,Negative Affect Frequency,negative affect frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Innovation and Creativity Components:,Innovation and Creativity Components:,innovation and creativity components:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Achievement Motivation:,Achievement Motivation:,achievement motivation:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Feedback-giving frequency,Feedback-giving frequency,feedback-giving frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Dance-cardio sessions,Dance-cardio sessions,dance-cardio sessions,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Enthusiasm,Enthusiasm,enthusiasm,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,psychological construct: social desirability tendency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
